City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,pirallahi,40.4723,50.333,20.08,80,Clouds,9.46,AZ,1727913634
78,albany,42.6001,-73.9662,16.99,67,Clouds,0.59,US,1727913635
79,bilibino,68.0546,166.4372,-3.35,94,Snow,4.19,RU,1727913636
80,gambiran satu,-8.3939,114.1464,26.29,74,Clouds,0.56,ID,1727913637
81,wailua homesteads,22.0669,-159.378,27.64,78,Rain,3.13,US,1727913638
82,chimbote,-9.0853,-78.5783,17.9,88,Clouds,2.85,PE,1727913639
83,port elizabeth,-33.918,25.5701,15.17,86,Clouds,5.14,ZA,1727913640
84,port lincoln,-34.7333,135.8667,18.73,46,Rain,10.33,AU,1727913642
85,puerto ayora,-0.7393,-90.3518,21.42,91,Clouds,2.68,EC,1727913643
86,ilulissat,69.2167,-51.1,2.98,63,Clouds,3.53,GL,1727913644
87,wake village,33.4268,-94.1063,23.36,60,Clear,2.55,US,1727913645
88,bazarak,35.3129,69.5152,9.17,49,Clear,5.78,AF,1727913646
89,cuatro cienegas de carranza,26.9833,-102.0833,28.0,31,Clear,5.64,MX,1727913647
90,saint-pierre,-21.3393,55.4781,21.82,68,Clouds,0.51,RE,1727913648
91,lompoc,34.6391,-120.4579,27.85,46,Clouds,4.12,US,1727913649
92,port mathurin,-19.6833,63.4167,22.06,83,Clear,5.49,MU,1727913651
93,point pedro,9.8167,80.2333,28.71,76,Clouds,7.54,LK,1727913652
94,tazacorte,28.629,-17.9293,23.54,78,Clouds,8.75,ES,1727913653
95,vredendal,-31.6683,18.5012,20.02,21,Clouds,5.24,ZA,1727913654
96,edinburgh of the seven seas,-37.0676,-12.3116,14.14,86,Clouds,12.55,SH,1727913655
97,champerico,14.3,-91.9167,24.39,92,Rain,2.9,GT,1727913656
98,nar'yan-mar,67.6713,53.087,4.11,93,Clouds,4.37,RU,1727913657
99,belyy yar,53.6039,91.3903,1.94,75,Clear,1.0,RU,1727913658
100,thompson,55.7435,-97.8558,4.09,65,Rain,7.2,CA,1727913659
101,el hamma,33.8915,9.7963,27.62,35,Clear,3.68,TN,1727913660
102,eenhana,-17.4667,16.3333,20.66,16,Clear,3.17,NA,1727913662
103,bethel,41.3712,-73.414,16.2,84,Clouds,0.41,US,1727913663
104,mossel bay,-34.1831,22.146,10.96,82,Clouds,8.77,ZA,1727913664
105,margaret river,-33.95,115.0667,11.69,67,Clouds,9.53,AU,1727913665
106,onega,63.9061,38.1404,4.5,72,Rain,2.84,RU,1727913666
107,yermakovskoye,53.2831,92.4003,6.36,84,Clouds,1.42,RU,1727913667
108,jamestown,42.097,-79.2353,12.8,74,Clear,0.45,US,1727913668
109,aasiaat,68.7098,-52.8699,0.36,75,Clouds,5.05,GL,1727913669
110,selfoss,63.9331,-20.9971,7.8,90,Clouds,0.55,IS,1727913671
111,kirkwall,58.9848,-2.9587,8.31,93,Clouds,3.09,GB,1727913672
112,dukku,10.8231,10.7717,25.51,66,Clouds,3.55,NG,1727913673
113,sarmiento,-45.5882,-69.07,9.82,47,Clear,7.49,AR,1727913674
114,essaouira,31.5125,-9.77,26.72,57,Clear,3.6,MA,1727913675
115,chonchi,-42.6128,-73.8092,8.4,98,Clouds,0.23,CL,1727913676
116,as samawah,31.332,45.2944,28.57,32,Clear,3.84,IQ,1727913677
117,kodiak,57.79,-152.4072,8.59,73,Clouds,1.99,US,1727913678
118,badger,64.8,-147.5333,6.87,63,Clouds,0.0,US,1727913679
119,knyaze-volkonskoye,48.4642,135.4567,11.19,57,Clear,7.06,RU,1727913681
120,greenland,43.0362,-70.8328,13.81,76,Clouds,1.55,US,1727913682
121,mata-utu,-13.2816,-176.1745,27.52,80,Clear,5.78,WF,1727913683
122,katsuura,35.1333,140.3,22.64,91,Clouds,5.09,JP,1727913684
123,punta arenas,-53.15,-70.9167,6.06,75,Clouds,9.26,CL,1727913685
124,coquimbo,-29.9533,-71.3436,14.43,64,Clear,3.09,CL,1727913197
125,lethem,3.3803,-59.7968,29.37,59,Clouds,1.83,GY,1727913687
126,fortuna,40.5982,-124.1573,18.85,71,Clear,4.12,US,1727913688
127,invercargill,-46.4,168.35,8.9,95,Rain,4.47,NZ,1727913689
128,luganville,-15.5333,167.1667,27.24,64,Clouds,3.74,VU,1727913691
129,mukalla,14.5425,49.1242,25.75,80,Clouds,3.96,YE,1727913692
130,isafjordur,66.0755,-23.124,1.17,99,Snow,4.43,IS,1727913693
131,belozersk,60.0326,37.7957,8.46,75,Clouds,2.49,RU,1727913694
132,oranjemund,-28.55,16.4333,24.62,13,Clouds,8.26,NA,1727913696
133,margate,51.3813,1.3862,13.72,72,Clouds,1.34,GB,1727913697
134,panacan,9.2463,118.4082,27.89,77,Clouds,0.41,PH,1727913698
135,christchurch,-43.5333,172.6333,11.29,91,Rain,5.66,NZ,1727913612
136,vila franca do campo,37.7167,-25.4333,24.23,94,Clouds,4.29,PT,1727913701
137,brisas de zicatela,15.8369,-97.0419,25.47,89,Rain,2.35,MX,1727913702
138,nadym,65.5333,72.5167,2.16,88,Clouds,7.76,RU,1727913703
139,severo-yeniseyskiy,60.3725,93.0408,-0.96,97,Snow,1.29,RU,1727913704
140,puerto san jose,13.9256,-90.8244,24.64,90,Rain,3.98,GT,1727913705
141,gebeit,21.0667,36.3167,24.85,44,Clear,2.49,SD,1727913706
142,brookings,44.3114,-96.7984,21.21,44,Clear,4.74,US,1727913707
143,mmabatho,-25.85,25.6333,12.98,41,Clear,3.6,ZA,1727913708
144,sinabang,2.4803,96.3801,24.99,90,Clouds,2.92,ID,1727913709
145,kamyshevatskaya,46.4132,37.9563,14.71,73,Clear,1.65,RU,1727913711
146,sergeyevka,53.88,67.4158,2.78,60,Clear,1.65,KZ,1727913712
147,sabang,5.8933,95.3214,27.16,83,Rain,5.56,ID,1727913713
148,okoneshnikovo,54.8377,75.0834,1.87,77,Clear,2.77,RU,1727913714
149,kudahuvadhoo,2.6708,72.8944,28.45,72,Clouds,3.44,MV,1727913715
150,berdigestyakh,62.0989,126.6992,0.83,87,Clouds,3.29,RU,1727913716
151,rosarito,32.3333,-117.0333,23.51,76,Clouds,2.53,MX,1727913717
152,saipan,15.1355,145.701,28.7,78,Clouds,7.61,MP,1727913718
153,dudinka,69.4058,86.1778,1.19,98,Snow,4.52,RU,1727913719
154,opuwo,-18.0607,13.84,20.85,33,Clouds,1.73,NA,1727913720
155,whitehorse,60.7161,-135.0538,5.61,89,Clouds,7.2,CA,1727913722
156,polyarnyy,69.1989,33.4478,1.95,81,Clouds,3.08,RU,1727913723
157,la passe,45.5549,-0.8967,14.24,83,Clouds,3.76,FR,1727913724
158,dongola,19.1667,30.4833,29.49,19,Clear,6.93,SD,1727913725
159,avarua,-21.2078,-159.775,24.03,57,Clouds,4.63,CK,1727913726
160,qulsary,46.9531,54.0198,16.02,40,Clouds,7.55,KZ,1727913727
161,port shepstone,-30.7414,30.455,16.81,70,Clouds,1.6,ZA,1727913728
162,ha'il,27.5219,41.6907,25.01,31,Clear,1.03,SA,1727913729
163,codrington,-38.2667,141.9667,19.72,50,Clear,5.54,AU,1727913731
164,qaqortoq,60.7167,-46.0333,3.26,78,Clouds,1.99,GL,1727913732
165,kantharalak,14.6406,104.6499,24.98,100,Clouds,2.64,TH,1727913734
166,puerto aysen,-45.4,-72.7,5.03,99,Clouds,1.91,CL,1727913735
167,chibougamau,49.9168,-74.3659,9.79,66,Clouds,1.03,CA,1727913736
168,yuzhno-kurilsk,44.0306,145.8556,15.3,47,Clouds,4.45,RU,1727913737
169,ola,59.5833,151.2833,4.47,74,Clouds,2.52,RU,1727913738
170,belmonte,-15.8631,-38.8828,23.04,82,Clear,4.16,BR,1727913740
171,burley,42.5357,-113.7928,22.33,26,Clear,6.95,US,1727913741
172,westport,41.1415,-73.3579,17.53,78,Clear,0.0,US,1727913742
173,sabha,27.0377,14.4283,24.85,30,Clear,3.25,LY,1727913743
174,bandarbeyla,9.4942,50.8122,25.46,81,Clouds,4.94,SO,1727913744
175,ketchikan,55.3422,-131.6461,12.97,85,Rain,2.11,US,1727913745
176,isangel,-19.55,169.2667,26.06,65,Clouds,2.57,VU,1727913747
177,altay,47.8667,88.1167,5.68,36,Clouds,0.89,CN,1727913748
178,minas de marcona,-15.2119,-75.1103,14.71,73,Clouds,4.29,PE,1727913750
179,ulan bator,47.9077,106.8832,-2.93,86,Clear,0.0,MN,1727913752
180,wad medani,14.4012,33.5199,31.23,42,Clouds,2.42,SD,1727913753
181,nacala,-14.5428,40.6728,24.36,85,Clouds,4.77,MZ,1727913754
182,middelburg,-25.7751,29.4648,7.6,77,Clear,5.89,ZA,1727913635
183,nova sintra,14.8667,-24.7167,26.73,83,Clouds,5.71,CV,1727913756
184,gombi,10.1614,12.7399,21.95,81,Clouds,0.2,NG,1727913757
185,shinkafi,13.0753,6.5105,28.7,47,Clouds,3.16,NG,1727913758
186,tadjourah,12.0,42.5,27.8,59,Clouds,1.08,DJ,1727913760
187,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,47,Clouds,12.0,RU,1727913761
188,plouzane,48.3833,-4.6167,12.03,100,Fog,2.06,FR,1727913492
189,mount pearl,47.5166,-52.7813,9.52,86,Clouds,5.66,CA,1727913765
190,ust-nera,64.5667,143.2,-3.29,82,Clouds,1.45,RU,1727913767
191,hafnarfjordur,64.0671,-21.9377,7.93,100,Rain,1.54,IS,1727913768
192,uyuni,-20.4597,-66.825,12.43,10,Clouds,2.6,BO,1727913769
193,giddings,30.1827,-96.9364,31.92,35,Clear,3.09,US,1727913770
194,gua musang,4.8823,101.9644,24.03,97,Clouds,0.49,MY,1727913771
195,zelenoborskiy,66.845,32.3622,2.85,82,Clouds,2.18,RU,1727913773
196,la ronge,55.1001,-105.2842,4.14,56,Clouds,10.29,CA,1727913774
197,antsiranana,-12.2787,49.2917,22.22,77,Clouds,5.9,MG,1727913775
198,hirara,24.8,125.2833,26.92,100,Rain,3.6,JP,1727913777
199,exeter,50.7236,-3.5275,10.18,90,Clouds,2.06,GB,1727913778
200,hadibu,12.65,54.0333,25.06,81,Clouds,2.63,YE,1727913779
201,alice springs,-23.7,133.8833,26.75,17,Clouds,3.6,AU,1727913780
202,vilyuchinsk,52.9306,158.4028,13.15,84,Rain,20.61,RU,1727913781
203,copala,16.65,-98.9833,25.4,89,Rain,1.48,MX,1727913782
204,tazovsky,67.4667,78.7,2.64,97,Rain,6.63,RU,1727913783
205,callao,-12.0667,-77.15,19.84,82,Clouds,4.12,PE,1727913784
206,ephraim,39.3597,-111.5863,26.56,18,Clear,5.19,US,1727913786
207,naze,28.3667,129.4833,24.51,88,Clouds,3.41,JP,1727913787
208,abbeville,50.1,1.8333,11.94,89,Clouds,4.43,FR,1727913788
209,nuuk,64.1835,-51.7216,4.93,60,Clouds,1.34,GL,1727913789
210,xilin hot,43.9667,116.0333,6.52,60,Clear,3.97,CN,1727913790
211,mana,5.6592,-53.7767,25.64,91,Clouds,2.13,GF,1727913791
212,khovd,48.0056,91.6419,8.1,43,Clouds,1.78,MN,1727913792
213,amungan,15.3652,119.9582,27.88,76,Clouds,0.43,PH,1727913793
214,utrik,11.2278,169.8474,28.33,80,Rain,7.14,MH,1727913795
215,sona,45.4388,10.8255,15.51,99,Clouds,1.03,IT,1727913796
216,howrah,22.5892,88.3103,29.0,89,Haze,2.57,IN,1727913797
217,sovetskaya gavan',48.9723,140.2878,12.3,45,Clear,3.31,RU,1727913798
218,malmberget,67.1753,20.6549,-3.69,100,Clouds,1.03,SE,1727913799
219,constantia,44.1833,28.65,11.5,74,Clouds,3.56,RO,1727913800
220,cheremushki,52.8356,91.3944,6.43,95,Rain,1.22,RU,1727913801
221,yeongdong,36.175,127.7764,13.32,65,Clouds,3.32,KR,1727913802
222,bathsheba,13.2167,-59.5167,26.34,94,Clouds,3.09,BB,1727913803
223,kilindoni,-7.9139,39.6668,24.88,77,Clouds,5.7,TZ,1727913805
224,dem'yanovo,60.3511,47.0842,8.87,65,Clouds,3.47,RU,1727913806
225,khandyga,62.6667,135.6,2.29,98,Rain,3.12,RU,1727913807
